Episode,Total Reward,Epsilon
2,-6.999999999999993,0.990
3,-10.79999999999998,0.985
4,-11.399999999999975,0.980
5,-6.299999999999995,0.975
6,-10.39999999999998,0.970
7,100.6,0.966
8,-11.399999999999977,0.961
9,-6.199999999999981,0.956
10,-4.2,0.951
11,-10.799999999999981,0.946
12,-11.799999999999978,0.942
13,-6.999999999999993,0.937
14,-11.599999999999977,0.932
15,-11.999999999999973,0.928
16,-11.199999999999978,0.923
17,-9.99999999999998,0.918
18,-11.799999999999981,0.914
19,-10.099999999999984,0.909
20,-8.599999999999985,0.905
21,-9.299999999999976,0.900
22,-7.199999999999993,0.896
23,-10.19999999999998,0.891
24,-9.299999999999985,0.887
25,-10.39999999999998,0.882
26,-6.599999999999994,0.878
27,-10.59999999999998,0.873
28,-10.39999999999998,0.869
29,-10.39999999999998,0.865
30,-8.899999999999977,0.860
31,101.8,0.856
32,-6.599999999999994,0.852
33,-6.999999999999993,0.848
34,-4.3000000000000025,0.843
35,-13.399999999999977,0.839
36,-10.799999999999981,0.835
37,-3.500000000000004,0.831
38,-10.799999999999972,0.827
39,-4.6000000000000005,0.822
40,-6.499999999999994,0.818
41,-9.99999999999998,0.814
42,-10.19999999999998,0.810
43,-5.7999999999999945,0.806
44,-10.39999999999998,0.802
45,-7.19999999999998,0.798
46,-10.699999999999983,0.794
47,-10.59999999999998,0.790
48,-10.59999999999998,0.786
49,-5.2,0.782
50,-3.2000000000000006,0.778
51,-10.39999999999998,0.774
52,-9.299999999999976,0.771
53,-4.8999999999999995,0.767
54,-10.19999999999998,0.763
55,-8.899999999999977,0.759
56,-9.399999999999983,0.755
57,-9.299999999999983,0.751
58,-13.599999999999977,0.748
59,-10.799999999999978,0.744
60,-6.799999999999978,0.740
61,100.6,0.737
62,-11.199999999999976,0.733
63,99.7,0.729
64,-6.399999999999996,0.726
65,-7.599999999999992,0.722
66,-6.699999999999992,0.718
67,-3.8000000000000056,0.715
68,-9.99999999999998,0.711
69,-5.899999999999998,0.708
70,-5.999999999999981,0.704
71,-10.79999999999998,0.701
72,-12.19999999999997,0.697
73,-3.800000000000004,0.694
74,101.8,0.690
75,-10.499999999999975,0.687
76,-13.19999999999997,0.683
77,-10.699999999999982,0.680
78,-6.399999999999994,0.676
79,-10.19999999999998,0.673
80,102.1,0.670
81,-11.399999999999975,0.666
82,-10.19999999999998,0.663
83,-5.799999999999981,0.660
84,-3.1000000000000036,0.656
85,-13.099999999999989,0.653
86,-11.999999999999973,0.650
87,-10.59999999999998,0.647
88,99.7,0.643
89,-11.599999999999984,0.640
90,-3.3000000000000047,0.637
91,99.6,0.634
92,101.2,0.631
93,-8.49999999999998,0.627
94,-10.09999999999998,0.624
95,-10.39999999999998,0.621
96,-12.999999999999973,0.618
97,-10.39999999999998,0.615
98,101.8,0.612
99,101.2,0.609
100,-11.199999999999976,0.606
101,-9.599999999999982,0.603
102,-10.59999999999998,0.600
103,-10.39999999999998,0.597
104,102.2,0.594
105,-10.29999999999998,0.591
106,-10.299999999999972,0.588
107,102.1,0.585
108,-10.39999999999998,0.582
109,-10.59999999999998,0.579
110,0.8000000000000169,0.576
111,-8.299999999999986,0.573
112,99.7,0.570
113,-6.899999999999992,0.568
114,15.099999999999916,0.565
115,-11.599999999999975,0.562
116,104.8,0.559
117,-10.39999999999998,0.556
118,-10.59999999999998,0.554
119,-9.899999999999975,0.551
120,-4.600000000000001,0.548
121,-9.99999999999998,0.545
122,-5.499999999999999,0.543
123,-10.599999999999978,0.540
124,-9.99999999999998,0.537
125,101.8,0.534
126,-7.199999999999991,0.532
127,-12.599999999999971,0.529
128,-7.0999999999999925,0.526
129,-7.199999999999989,0.524
130,107.3,0.521
131,-11.199999999999978,0.519
132,-10.39999999999998,0.516
133,99.1,0.513
134,-8.899999999999986,0.511
135,-3.199999999999985,0.508
136,-10.39999999999998,0.506
137,-6.999999999999992,0.503
138,100.9,0.501
139,-10.799999999999981,0.498
,,
141,-2.500000000000001,0.493
142,101.8,0.491
143,99.7,0.488
144,103.3,0.486
145,-12.399999999999974,0.483
146,101.8,0.481
147,-10.299999999999983,0.479
148,102.6,0.476
149,111.4,0.474
150,-11.999999999999975,0.471
151,-10.599999999999978,0.469
152,-12.199999999999974,0.467
153,99.4,0.464
154,-7.199999999999993,0.462
155,-6.199999999999981,0.460
156,103.3,0.458
157,-6.7999999999999945,0.455
158,101.2,0.453
159,-1.900000000000005,0.451
160,1.1000000000000125,0.448
161,-10.59999999999998,0.446
162,9.000000000000023,0.444
163,-3.199999999999997,0.442
164,-11.199999999999976,0.440
165,102.8,0.437
166,-10.599999999999978,0.435
167,101.2,0.433
168,102.3,0.431
169,-4.300000000000003,0.429
170,-10.299999999999981,0.427
171,-8.699999999999987,0.424
172,-2.8999999999999924,0.422
173,0.5000000000000152,0.420
174,-9.99999999999998,0.418
175,-11.099999999999977,0.416
176,102.4,0.414
177,100.4,0.412
178,25.699999999999935,0.410
179,-10.19999999999998,0.408
180,101.2,0.406
181,106.8,0.404
182,103.3,0.402
183,100.6,0.400
184,101.5,0.398
185,101.2,0.396
186,-4.8999999999999915,0.394
187,101.2,0.392
188,-10.59999999999998,0.390
189,-11.199999999999976,0.388
190,104.2,0.386
191,-10.599999999999978,0.384
192,101.2,0.382
193,101.8,0.380
194,-10.599999999999978,0.378
195,101.2,0.376
196,-10.199999999999982,0.374
197,-9.699999999999983,0.373
198,100.6,0.371
199,-4.999999999999999,0.369
200,101.8,0.367
201,100.0,0.365
202,-10.39999999999998,0.363
203,-9.99999999999998,0.361
204,101.8,0.360
205,-1.4999999999999938,0.358
206,102.1,0.356
207,-8.999999999999972,0.354
208,-10.199999999999982,0.353
209,102.0,0.351
210,105.5,0.349
211,-4.7,0.347
212,16.79999999999991,0.346
213,-11.399999999999975,0.344
214,1.7000000000000086,0.342
215,-11.199999999999978,0.340
216,-9.699999999999982,0.339
217,109.1,0.337
218,102.2,0.335
219,103.6,0.334
220,101.2,0.332
221,-9.99999999999998,0.330
222,-9.699999999999983,0.329
223,102.1,0.327
224,104.8,0.325
225,99.4,0.324
226,-9.99999999999998,0.322
227,104.1,0.321
228,106.7,0.319
229,101.2,0.317
230,107.5,0.316
231,-10.999999999999977,0.314
232,9.900000000000018,0.313
233,-11.199999999999983,0.311
234,101.8,0.309
235,104.2,0.308
236,100.6,0.306
237,42.89999999999996,0.305
238,114.7,0.303
239,28.799999999999944,0.302
240,-10.399999999999979,0.300
241,103.3,0.299
242,-12.599999999999978,0.297
243,-10.59999999999998,0.296
244,107.5,0.294
245,114.1,0.293
246,105.5,0.291
247,103.1,0.290
248,-6.399999999999994,0.288
249,101.2,0.287
250,-10.999999999999977,0.286
251,101.2,0.284
252,99.6,0.283
253,100.6,0.281
254,100.6,0.280
255,100.4,0.279
256,101.2,0.277
257,101.2,0.276
258,-8.699999999999987,0.274
259,101.2,0.273
260,105.7,0.272
261,102.7,0.270
262,101.8,0.269
263,101.8,0.268
264,-7.299999999999991,0.266
265,-10.999999999999979,0.265
266,101.2,0.264
267,-6.199999999999997,0.262
268,-6.799999999999991,0.261
269,0.4000000000000027,0.260
270,72.60000000000024,0.258
271,103.6,0.257
272,102.1,0.256
273,101.8,0.255
274,-10.19999999999998,0.253
275,105.0,0.252
276,104.8,0.251
277,-2.4999999999999862,0.249
278,-8.099999999999987,0.248
279,101.2,0.247
280,-11.199999999999985,0.246
281,-7.399999999999983,0.245
282,100.6,0.243
283,41.699999999999925,0.242
284,101.8,0.241
285,36.79999999999999,0.240
286,-10.999999999999977,0.238
287,103.3,0.237
288,-10.59999999999998,0.236
289,-10.39999999999998,0.235
290,-6.499999999999994,0.234
291,25.19999999999993,0.233
292,101.8,0.231
293,5.800000000000017,0.230
294,101.8,0.229
295,-10.39999999999998,0.228
296,104.4,0.227
297,101.2,0.226
298,101.8,0.225
299,5.600000000000028,0.223
300,102.1,0.222
301,106.0,0.221
302,101.8,0.220
303,101.8,0.219
304,101.2,0.218
305,-8.09999999999999,0.217
306,-10.199999999999982,0.216
307,100.0,0.215
308,99.7,0.214
309,32.99999999999997,0.212
310,-10.19999999999998,0.211
